disease,symptoms,original_symptoms
đau dạ dày,"tôi xuất hiện hơi thở có mùi hôi và đau âm ỉ giữa bụng, nhanh no","hơi thở có mùi hôi, đau âm ỉ giữa bụng, nhanh no"
đau dạ dày,"tôi có triệu chứng đau âm ỉ giữa bụng cùng với ợ hơi, trào ngược dạ axit","đau âm ỉ giữa bụng, ợ hơi, trào ngược dạ axit"
đau dạ dày,"tôi bị hơi thở có mùi hôi và nhanh no, đầy hơi","hơi thở có mùi hôi, nhanh no, đầy hơi"
đau dạ dày,"tôi xuất hiện đau âm ỉ giữa bụng kèm theo ợ hơi, buồn nôn","đau âm ỉ giữa bụng, ợ hơi, buồn nôn"
đau dạ dày,"tôi đang gặp phải hơi thở có mùi hôi và ợ hơi, hơi thở có mùi chua","hơi thở có mùi hôi, ợ hơi, hơi thở có mùi chua"
đau dạ dày,"tôi bị hơi thở có mùi chua ngoài ra còn nhanh no, đầy hơi","hơi thở có mùi chua, nhanh no, đầy hơi"
đau dạ dày,"tôi phát hiện hơi thở có mùi hôi cùng với đau âm ỉ giữa bụng, đầy hơi","hơi thở có mùi hôi, đau âm ỉ giữa bụng, đầy hơi"
đau dạ dày,"tôi cảm thấy ợ chua kèm theo đau sau khi ăn, trào ngược dạ axit","ợ chua, đau sau khi ăn, trào ngược dạ axit"
đau dạ dày,"tôi xuất hiện đau sau khi ăn kèm theo hơi thở có mùi chua, đầy hơi","đau sau khi ăn, hơi thở có mùi chua, đầy hơi"
đau dạ dày,"tôi đang gặp phải ăn uống kém cùng với ợ hơi, hơi thở có mùi chua","ăn uống kém, ợ hơi, hơi thở có mùi chua"
đau dạ dày,"tôi gặp phải ợ chua và hơi thở có mùi chua, đầy hơi","ợ chua, hơi thở có mùi chua, đầy hơi"
đau dạ dày,"tôi có triệu chứng đau sau khi đói và ợ chua, đầy hơi","đau sau khi đói, ợ chua, đầy hơi"
đau dạ dày,"tôi có dấu hiệu đau sau khi đói ngoài ra còn trào ngược dạ axit, hơi thở có mùi chua","đau sau khi đói, trào ngược dạ axit, hơi thở có mùi chua"
viêm xoang,"tôi gặp phải nghẹt mũi ngoài ra còn chảy nước mũi, ho, đau nhức thái dương","nghẹt mũi, chảy nước mũi, ho, đau nhức thái dương"
viêm xoang,"tôi có dấu hiệu đau nhức vùng trán cùng với giảm khứu giác, nặng mặt, sốt","đau nhức vùng trán, giảm khứu giác, nặng mặt, sốt"
viêm xoang,"tôi phát hiện đau nhức vùng trán kèm theo đau nhức gò má, đau nhức thái dương, đau đầu","đau nhức vùng trán, đau nhức gò má, đau nhức thái dương, đau đầu"
viêm xoang,"tôi đang có đau nhức vùng trán đồng thời nghẹt mũi, chảy nước mũi, mất khứu giác","đau nhức vùng trán, nghẹt mũi, chảy nước mũi, mất khứu giác"
viêm xoang,"tôi phát hiện đau nhức vùng trán kèm theo sốt, chảy nước mũi, đau nhức gò má","đau nhức vùng trán, sốt, chảy nước mũi, đau nhức gò má"
viêm xoang,"tôi cảm thấy giảm khứu giác cùng với sốt, ho, đau nhức thái dương","giảm khứu giác, sốt, ho, đau nhức thái dương"
viêm xoang,"tôi có dấu hiệu sổ mũi cùng với đau nhức gò má, ho, đau nhức thái dương","sổ mũi, đau nhức gò má, ho, đau nhức thái dương"
viêm xoang,"tôi đang gặp phải giảm khứu giác đồng thời chảy nước mũi, đau nhức gò má, đau đầu","giảm khứu giác, chảy nước mũi, đau nhức gò má, đau đầu"
viêm xoang,"tôi có triệu chứng sổ mũi cùng với nghẹt mũi, mất khứu giác, đau đầu","sổ mũi, nghẹt mũi, mất khứu giác, đau đầu"
viêm xoang,"tôi gặp phải nghẹt mũi và nặng mặt, chảy nước mũi, đau nhức thái dương","nghẹt mũi, nặng mặt, chảy nước mũi, đau nhức thái dương"
viêm xoang,"tôi đang có sổ mũi kèm theo nghẹt mũi, đau nhức gò má, mất khứu giác","sổ mũi, nghẹt mũi, đau nhức gò má, mất khứu giác"
viêm xoang,"tôi có triệu chứng đau nhức vùng trán đồng thời chảy nước mũi, đau nhức gò má, mất khứu giác","đau nhức vùng trán, chảy nước mũi, đau nhức gò má, mất khứu giác"
viêm xoang,"tôi bị sổ mũi cùng với đau nhức vùng trán, sốt, đau nhức gò má","sổ mũi, đau nhức vùng trán, sốt, đau nhức gò má"
viêm xoang,"tôi có dấu hiệu chảy nước mũi đồng thời hắt xì, đau nhức gò má, đau đầu","chảy nước mũi, hắt xì, đau nhức gò má, đau đầu"
viêm xoang,"tôi bị sổ mũi cùng với đau nhức vùng trán, giảm khứu giác, đau đầu","sổ mũi, đau nhức vùng trán, giảm khứu giác, đau đầu"
viêm mũi dị ứng,"tôi đang có nhột cay trong mũi ngoài ra còn đỏ mắt, cay mắt, chảy nước mắt","nhột cay trong mũi, đỏ mắt, cay mắt, chảy nước mắt"
viêm mũi dị ứng,"tôi có dấu hiệu nhột cay trong mũi cùng với chảy nước mũi, sợ ánh nắng, viêm họng","nhột cay trong mũi, chảy nước mũi, sợ ánh nắng, viêm họng"
viêm mũi dị ứng,"tôi có triệu chứng thở bằng miệng kèm theo đỏ mắt, viêm phế quản, hắt xì liên tục","thở bằng miệng, đỏ mắt, viêm phế quản, hắt xì liên tục"
viêm mũi dị ứng,"tôi có dấu hiệu đau đầu và chảy nước mũi, sợ ánh nắng, viêm phế quản","đau đầu, chảy nước mũi, sợ ánh nắng, viêm phế quản"
viêm mũi dị ứng,"tôi đang gặp phải thở bằng miệng ngoài ra còn mệt mỏi, chảy nước mắt, hắt xì liên tục","thở bằng miệng, mệt mỏi, chảy nước mắt, hắt xì liên tục"
viêm mũi dị ứng,"tôi có dấu hiệu thở bằng miệng kèm theo mệt mỏi, chảy nước mũi, sợ ánh nắng","thở bằng miệng, mệt mỏi, chảy nước mũi, sợ ánh nắng"
viêm mũi dị ứng,"tôi xuất hiện chảy nước mắt ngoài ra còn viêm phế quản, hắt xì liên tục, viêm họng","chảy nước mắt, viêm phế quản, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ kèm theo cay mắt, chảy nước mũi, viêm phế quản","giảm trí nhớ, cay mắt, chảy nước mũi, viêm phế quản"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ ngoài ra còn đau đầu, mệt mỏi, viêm họng","giảm trí nhớ, đau đầu, mệt mỏi, viêm họng"
viêm mũi dị ứng,"tôi đang có mệt mỏi và sợ ánh nắng, hắt xì liên tục, viêm họng","mệt mỏi, sợ ánh nắng, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi cảm thấy đỏ mắt kèm theo chảy nước mũi, chảy nước mắt, viêm họng","đỏ mắt, chảy nước mũi, chảy nước mắt, viêm họng"
viêm mũi dị ứng,"tôi có dấu hiệu giảm trí nhớ đồng thời mệt mỏi, sợ ánh nắng, hắt xì liên tục","giảm trí nhớ, mệt mỏi, sợ ánh nắng, hắt xì liên tục"
viêm mũi dị ứng,"tôi đang có thở bằng miệng và mệt mỏi, hắt xì liên tục, viêm họng","thở bằng miệng, mệt mỏi, hắt xì liên tục, viêm họng"
viêm mũi dị ứng,"tôi cảm thấy giảm trí nhớ cùng với đau đầu, chảy nước mũi, chảy nước mắt","giảm trí nhớ, đau đầu, chảy nước mũi, chảy nước mắt"
viêm mũi dị ứng,"tôi bị thở bằng miệng và cay mắt, chảy nước mũi, sợ ánh nắng","thở bằng miệng, cay mắt, chảy nước mũi, sợ ánh nắng"
thiếu máu,"tôi xuất hiện da xanh xao kèm theo mệt mỏi, ù tai","da xanh xao, mệt mỏi, ù tai"
thiếu máu,"tôi gặp phải nhịp tim nhanh ngoài ra còn da nhợt nhạt, mệt mỏi","nhịp tim nhanh, da nhợt nhạt, mệt mỏi"
thiếu máu,"tôi có triệu chứng niêm mạc xanh xao kèm theo hoa mắt, ù tai","niêm mạc xanh xao, hoa mắt, ù tai"
thiếu máu,"tôi bị hồi hợp đồng thời da xanh xao, ù tai","hồi hợp, da xanh xao, ù tai"
thiếu máu,"tôi xuất hiện niêm mạc xanh xao cùng với nhịp tim nhanh, da nhợt nhạt","niêm mạc xanh xao, nhịp tim nhanh, da nhợt nhạt"
thiếu máu,"tôi xuất hiện chóng mặt ngoài ra còn nhịp tim nhanh, hoa mắt","chóng mặt, nhịp tim nhanh, hoa mắt"
thiếu máu,"tôi phát hiện niêm mạc xanh xao kèm theo da xanh xao, ù tai","niêm mạc xanh xao, da xanh xao, ù tai"
thiếu máu,"tôi có dấu hiệu chóng mặt cùng với da xanh xao, hoa mắt","chóng mặt, da xanh xao, hoa mắt"
thiếu máu,"tôi đang gặp phải niêm mạc xanh xao kèm theo nhịp tim nhanh, hoa mắt","niêm mạc xanh xao, nhịp tim nhanh, hoa mắt"
thiếu máu,"tôi có triệu chứng hoa mắt ngoài ra còn da nhợt nhạt, mệt mỏi","hoa mắt, da nhợt nhạt, mệt mỏi"
thiếu máu,"tôi gặp phải hồi hợp cùng với nhịp tim nhanh, da nhợt nhạt","hồi hợp, nhịp tim nhanh, da nhợt nhạt"
thiếu máu,"tôi đang có hoa mắt đồng thời niêm mạc nhợt nhạt, ù tai","hoa mắt, niêm mạc nhợt nhạt, ù tai"
thiếu máu,"tôi đang có hồi hợp kèm theo da xanh xao, niêm mạc nhợt nhạt","hồi hợp, da xanh xao, niêm mạc nhợt nhạt"
thiếu máu,"tôi gặp phải chóng mặt đồng thời da xanh xao, niêm mạc nhợt nhạt","chóng mặt, da xanh xao, niêm mạc nhợt nhạt"
thiếu máu,"tôi phát hiện niêm mạc xanh xao đồng thời da xanh xao, da nhợt nhạt","niêm mạc xanh xao, da xanh xao, da nhợt nhạt"
hen suyễn,"tôi đang gặp phải khó thở đồng thời rối loạn giấc ngủ, thở nhanh","khó thở, rối loạn giấc ngủ, thở nhanh"
hen suyễn,"tôi gặp phải thở dốc đồng thời khó thở, thở nhanh","thở dốc, khó thở, thở nhanh"
hen suyễn,"tôi gặp phải ho kèm theo rối loạn giấc ngủ, đau ngực","ho, rối loạn giấc ngủ, đau ngực"
hen suyễn,"tôi có dấu hiệu thở khò khè và khó thở, khạc đàm","thở khò khè, khó thở, khạc đàm"
hen suyễn,"tôi đang gặp phải ngáy do khó thở cùng với đau ngực, cảm giác bóp nghẹn","ngáy do khó thở, đau ngực, cảm giác bóp nghẹn"
hen suyễn,"tôi đang có thở dốc kèm theo khạc đàm, cảm giác bóp nghẹn","thở dốc, khạc đàm, cảm giác bóp nghẹn"
hen suyễn,"tôi xuất hiện khạc đàm cùng với ngáy do khó thở, cảm giác bóp nghẹn","khạc đàm, ngáy do khó thở, cảm giác bóp nghẹn"
hen suyễn,"tôi đang có thở dốc cùng với ho, cảm giác bóp nghẹn","thở dốc, ho, cảm giác bóp nghẹn"
hen suyễn,"tôi gặp phải thở khò khè cùng với ho, ngáy do khó thở","thở khò khè, ho, ngáy do khó thở"
hen suyễn,"tôi phát hiện thở dốc và đau ngực, thở nhanh","thở dốc, đau ngực, thở nhanh"
hen suyễn,"tôi đang có thở rít đồng thời khó thở, ho","thở rít, khó thở, ho"
hen suyễn,"tôi cảm thấy thở dốc cùng với khó thở, ngáy do khó thở","thở dốc, khó thở, ngáy do khó thở"
hen suyễn,"tôi đang gặp phải khạc đàm và rối loạn giấc ngủ, thở nhanh","khạc đàm, rối loạn giấc ngủ, thở nhanh"
hen suyễn,"tôi gặp phải thở dốc ngoài ra còn thở rít, ho","thở dốc, thở rít, ho"
hen suyễn,"tôi đang có thở khò khè ngoài ra còn rối loạn giấc ngủ, đau ngực","thở khò khè, rối loạn giấc ngủ, đau ngực"
di ứng thực phẩm,"tôi xuất hiện sưng môi và choáng váng, cơ thể bị phát ban, ngất xỉu","sưng môi, choáng váng, cơ thể bị phát ban, ngất xỉu"
di ứng thực phẩm,"tôi phát hiện sưng môi và chóng măt, thở khò khè, ngứa ran trong miệng","sưng môi, chóng măt, thở khò khè, ngứa ran trong miệng"
di ứng thực phẩm,"tôi cảm thấy chóng măt kèm theo nghẹt mũi, ngứa ran trong miệng, sưng mặt","chóng măt, nghẹt mũi, ngứa ran trong miệng, sưng mặt"
di ứng thực phẩm,"tôi đang có cảm giác khó thở và choáng váng, ngất xỉu, sưng mặt","cảm giác khó thở, choáng váng, ngất xỉu, sưng mặt"
di ứng thực phẩm,"tôi đang gặp phải nôn mửa cùng với sưng môi, choáng váng, cơ thể bị phát ban","nôn mửa, sưng môi, choáng váng, cơ thể bị phát ban"
di ứng thực phẩm,"tôi gặp phải sưng lưỡi cùng với nôn mửa, sưng môi, ngứa ran trong miệng","sưng lưỡi, nôn mửa, sưng môi, ngứa ran trong miệng"
di ứng thực phẩm,"tôi cảm thấy tiêu chảy cùng với nôn mửa, nghẹt mũi, sưng mặt","tiêu chảy, nôn mửa, nghẹt mũi, sưng mặt"
di ứng thực phẩm,"tôi bị cảm giác khó thở và chóng măt, nghẹt mũi, ngất xỉu","cảm giác khó thở, chóng măt, nghẹt mũi, ngất xỉu"
di ứng thực phẩm,"tôi cảm thấy đau bụng ngoài ra còn sưng môi, buồn nôn, chóng măt","đau bụng, sưng môi, buồn nôn, chóng măt"
di ứng thực phẩm,"tôi gặp phải tiêu chảy đồng thời chóng măt, thở khò khè, sưng mặt","tiêu chảy, chóng măt, thở khò khè, sưng mặt"
di ứng thực phẩm,"tôi gặp phải sưng môi đồng thời buồn nôn, sưng mặt, cơ thể bị ngứa","sưng môi, buồn nôn, sưng mặt, cơ thể bị ngứa"
di ứng thực phẩm,"tôi đang có choáng váng cùng với thở khò khè, sưng mặt, cơ thể bị ngứa","choáng váng, thở khò khè, sưng mặt, cơ thể bị ngứa"
di ứng thực phẩm,"tôi đang có chóng măt ngoài ra còn nghẹt mũi, cơ thể bị phát ban, ngứa ran trong miệng","chóng măt, nghẹt mũi, cơ thể bị phát ban, ngứa ran trong miệng"
di ứng thực phẩm,"tôi xuất hiện tiêu chảy ngoài ra còn nôn mửa, sưng môi, thở khò khè","tiêu chảy, nôn mửa, sưng môi, thở khò khè"
di ứng thực phẩm,"tôi có triệu chứng tiêu chảy kèm theo sưng môi, cảm giác khó thở, ngứa ran trong miệng","tiêu chảy, sưng môi, cảm giác khó thở, ngứa ran trong miệng"
dị ứng thời tiết,"tôi có dấu hiệu tụt huyết áp đột ngột đồng thời sổ mũi, da nổi ban đỏ, ngứa khi thời tiết nóng hoặc lạnh","tụt huyết áp đột ngột, sổ mũi, da nổi ban đỏ, ngứa khi thời tiết nóng hoặc lạnh"
dị ứng thời tiết,"tôi có triệu chứng da bị sưng rộp ngoài ra còn ngứa khi thời tiết nóng hoặc lạnh, mệt mỏi, nổi mề đay","da bị sưng rộp, ngứa khi thời tiết nóng hoặc lạnh, mệt mỏi, nổi mề đay"
dị ứng thời tiết,"tôi xuất hiện tụt huyết áp đột ngột cùng với da bị sưng rộp, khó thở, sổ mũi","tụt huyết áp đột ngột, da bị sưng rộp, khó thở, sổ mũi"
dị ứng thời tiết,"tôi phát hiện tụt huyết áp nhanh cùng với sổ mũi, da bị xung huyết, đau đầu","tụt huyết áp nhanh, sổ mũi, da bị xung huyết, đau đầu"
dị ứng thời tiết,"tôi phát hiện da bị sưng rộp và sổ mũi, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay","da bị sưng rộp, sổ mũi, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay"
dị ứng thời tiết,"tôi phát hiện hắt xì đồng thời khó thở, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay","hắt xì, khó thở, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay"
dị ứng thời tiết,"tôi đang có tụt huyết áp nhanh ngoài ra còn da nổi ban đỏ, đau đầu, ho khan","tụt huyết áp nhanh, da nổi ban đỏ, đau đầu, ho khan"
dị ứng thời tiết,"tôi gặp phải tụt huyết áp đột ngột đồng thời hắt xì, ngứa khi thời tiết nóng hoặc lạnh, da bị phù lên","tụt huyết áp đột ngột, hắt xì, ngứa khi thời tiết nóng hoặc lạnh, da bị phù lên"
dị ứng thời tiết,"tôi phát hiện da bị sưng rộp và khó thở, da bị xung huyết, nổi mề đay","da bị sưng rộp, khó thở, da bị xung huyết, nổi mề đay"
dị ứng thời tiết,"tôi đang gặp phải khó thở đồng thời sổ mũi, da bị phù lên, đau đầu","khó thở, sổ mũi, da bị phù lên, đau đầu"
dị ứng thời tiết,"tôi có triệu chứng tụt huyết áp nhanh ngoài ra còn da nổi ban đỏ, da bị phù lên, mệt mỏi","tụt huyết áp nhanh, da nổi ban đỏ, da bị phù lên, mệt mỏi"
dị ứng thời tiết,"tôi cảm thấy da nổi ban đỏ đồng thời ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay, ho khan","da nổi ban đỏ, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay, ho khan"
dị ứng thời tiết,"tôi có dấu hiệu tụt huyết áp đột ngột đồng thời sổ mũi, mệt mỏi, đau đầu","tụt huyết áp đột ngột, sổ mũi, mệt mỏi, đau đầu"
dị ứng thời tiết,"tôi xuất hiện tụt huyết áp nhanh kèm theo da bị sưng rộp, da bị phù lên, ho khan","tụt huyết áp nhanh, da bị sưng rộp, da bị phù lên, ho khan"
dị ứng thời tiết,"tôi có triệu chứng khó thở và ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay, đau đầu","khó thở, ngứa khi thời tiết nóng hoặc lạnh, nổi mề đay, đau đầu"
trĩ,tôi bị khó chịu hậu môn ngoài ra còn đau hậu môn,"khó chịu hậu môn, đau hậu môn"
trĩ,tôi có triệu chứng cảm giác có khối lồi hoặc búi trĩ thò ra và chảy máu khi đại tiện,"cảm giác có khối lồi hoặc búi trĩ thò ra, chảy máu khi đại tiện"
trĩ,tôi cảm thấy chảy máu khi đại tiện cùng với đau khi sờ vào,"chảy máu khi đại tiện, đau khi sờ vào"
trĩ,tôi bị đau hậu môn ngoài ra còn ngứa ở vùng hậu môn,"đau hậu môn, ngứa ở vùng hậu môn"
trĩ,tôi cảm thấy cảm giác có khối lồi hoặc búi trĩ thò ra ngoài ra còn ngứa ở vùng hậu môn,"cảm giác có khối lồi hoặc búi trĩ thò ra, ngứa ở vùng hậu môn"
trĩ,tôi bị đau hậu môn ngoài ra còn khối trĩ nhạy cảm,"đau hậu môn, khối trĩ nhạy cảm"
trĩ,tôi xuất hiện khối trĩ nhạy cảm đồng thời ngứa ở vùng hậu môn,"khối trĩ nhạy cảm, ngứa ở vùng hậu môn"
trĩ,tôi bị cảm giác có khối lồi hoặc búi trĩ thò ra kèm theo đau khi sờ vào,"cảm giác có khối lồi hoặc búi trĩ thò ra, đau khi sờ vào"
trĩ,tôi gặp phải khó chịu hậu môn ngoài ra còn khối trĩ nhạy cảm,"khó chịu hậu môn, khối trĩ nhạy cảm"
trĩ,tôi đang gặp phải chảy máu khi đại tiện kèm theo khối trĩ nhạy cảm,"chảy máu khi đại tiện, khối trĩ nhạy cảm"
trĩ,tôi đang có khối trĩ nhạy cảm đồng thời có khối u gần hậu môn,"khối trĩ nhạy cảm, có khối u gần hậu môn"
trĩ,tôi gặp phải cảm giác có khối lồi hoặc búi trĩ thò ra ngoài ra còn có khối u gần hậu môn,"cảm giác có khối lồi hoặc búi trĩ thò ra, có khối u gần hậu môn"
trĩ,tôi đang gặp phải khó chịu hậu môn và đau khi sờ vào,"khó chịu hậu môn, đau khi sờ vào"
trĩ,tôi đang có cảm giác có khối lồi hoặc búi trĩ thò ra cùng với đau hậu môn,"cảm giác có khối lồi hoặc búi trĩ thò ra, đau hậu môn"
trĩ,tôi bị khó chịu hậu môn kèm theo có khối u gần hậu môn,"khó chịu hậu môn, có khối u gần hậu môn"
